ANO,MES,MES_NOME,TOTAL_CASOS,DATA
2015,1,Janeiro,3518,2015-01-01
2015,2,Fevereiro,3264,2015-02-01
2015,3,Março,3978,2015-03-01
2015,4,Abril,3623,2015-04-01
2015,5,Maio,3810,2015-05-01
2015,6,Junho,4187,2015-06-01
2015,7,Julho,3452,2015-07-01
2015,8,Agosto,3679,2015-08-01
2015,9,Setembro,4075,2015-09-01
2015,10,Outubro,4026,2015-10-01
2015,11,Novembro,3662,2015-11-01
2015,12,Dezembro,2503,2015-12-01
2016,1,Janeiro,3839,2016-01-01
2016,2,Fevereiro,3465,2016-02-01
2016,3,Março,3649,2016-03-01
2016,4,Abril,3551,2016-04-01
2016,5,Maio,3664,2016-05-01
2016,6,Junho,4132,2016-06-01
2016,7,Julho,3333,2016-07-01
2016,8,Agosto,3953,2016-08-01
2016,9,Setembro,4078,2016-09-01
2016,10,Outubro,3418,2016-10-01
2016,11,Novembro,3835,2016-11-01
2016,12,Dezembro,3113,2016-12-01
2017,1,Janeiro,4344,2017-01-01
2017,2,Fevereiro,4109,2017-02-01
2017,3,Março,5709,2017-03-01
2017,4,Abril,4011,2017-04-01
2017,5,Maio,5190,2017-05-01
2017,6,Junho,5428,2017-06-01
2017,7,Julho,4412,2017-07-01
2017,8,Agosto,5044,2017-08-01
2017,9,Setembro,5555,2017-09-01
2017,10,Outubro,5277,2017-10-01
2017,11,Novembro,5418,2017-11-01
2017,12,Dezembro,4432,2017-12-01
2018,1,Janeiro,5897,2018-01-01
2018,2,Fevereiro,5633,2018-02-01
2018,3,Março,6783,2018-03-01
2018,4,Abril,6699,2018-04-01
2018,5,Maio,8362,2018-05-01
2018,6,Junho,7651,2018-06-01
2018,7,Julho,7117,2018-07-01
2018,8,Agosto,9230,2018-08-01
2018,9,Setembro,8630,2018-09-01
2018,10,Outubro,8506,2018-10-01
2018,11,Novembro,8697,2018-11-01
2018,12,Dezembro,7164,2018-12-01
2019,1,Janeiro,9076,2019-01-01
2019,2,Fevereiro,9234,2019-02-01
2019,3,Março,9289,2019-03-01
2019,4,Abril,8809,2019-04-01
2019,5,Maio,10657,2019-05-01
2019,6,Junho,8866,2019-06-01
2019,7,Julho,9263,2019-07-01
2019,8,Agosto,10588,2019-08-01
2019,9,Setembro,9782,2019-09-01
2019,10,Outubro,9815,2019-10-01
2019,11,Novembro,10638,2019-11-01
2019,12,Dezembro,8638,2019-12-01
2020,1,Janeiro,10431,2020-01-01
2020,2,Fevereiro,9758,2020-02-01
2020,3,Março,10573,2020-03-01
2020,4,Abril,10664,2020-04-01
2020,5,Maio,13409,2020-05-01
2020,6,Junho,13395,2020-06-01
2020,7,Julho,13761,2020-07-01
2020,8,Agosto,13263,2020-08-01
2020,9,Setembro,14213,2020-09-01
2020,10,Outubro,14473,2020-10-01
2020,11,Novembro,13237,2020-11-01
2020,12,Dezembro,10807,2020-12-01
2021,1,Janeiro,14352,2021-01-01
2021,2,Fevereiro,12644,2021-02-01
2021,3,Março,14093,2021-03-01
2021,4,Abril,14103,2021-04-01
2021,5,Maio,16225,2021-05-01
2021,6,Junho,14197,2021-06-01
2021,7,Julho,14168,2021-07-01
2021,8,Agosto,15863,2021-08-01
2021,9,Setembro,15904,2021-09-01
2021,10,Outubro,15914,2021-10-01
2021,11,Novembro,14095,2021-11-01
2021,12,Dezembro,13215,2021-12-01
2022,1,Janeiro,13819,2022-01-01
2022,2,Fevereiro,12795,2022-02-01
2022,3,Março,15166,2022-03-01
2022,4,Abril,13462,2022-04-01
2022,5,Maio,13993,2022-05-01
2022,6,Junho,14266,2022-06-01
2022,7,Julho,14118,2022-07-01
2022,8,Agosto,15594,2022-08-01
2022,9,Setembro,17397,2022-09-01
2022,10,Outubro,14318,2022-10-01
2022,11,Novembro,13770,2022-11-01
2022,12,Dezembro,12071,2022-12-01
2023,1,Janeiro,14181,2023-01-01
2023,2,Fevereiro,12632,2023-02-01
2023,3,Março,16953,2023-03-01
2023,4,Abril,14956,2023-04-01
2023,5,Maio,14994,2023-05-01
2023,6,Junho,16495,2023-06-01
2023,7,Julho,14068,2023-07-01
2023,8,Agosto,15600,2023-08-01
2023,9,Setembro,16184,2023-09-01
2023,10,Outubro,16119,2023-10-01
2023,11,Novembro,16551,2023-11-01
2023,12,Dezembro,13327,2023-12-01
2024,1,Janeiro,15515,2024-01-01
2024,2,Fevereiro,16332,2024-02-01
2024,3,Março,17364,2024-03-01
2024,4,Abril,18147,2024-04-01
2024,5,Maio,18862,2024-05-01
2024,6,Junho,17333,2024-06-01
2024,7,Julho,16653,2024-07-01
2024,8,Agosto,19367,2024-08-01
2024,9,Setembro,18432,2024-09-01
2024,10,Outubro,18298,2024-10-01
2024,11,Novembro,17985,2024-11-01
2024,12,Dezembro,15423,2024-12-01
